State,State Code,Year,Month,Month Code,Births
California,6,2021,January,1,"31,976"
California,6,2021,February,2,"30,080"
California,6,2021,March,3,"34,622"
California,6,2021,April,4,"33,463"
California,6,2021,May,5,"34,338"
California,6,2021,June,6,"34,900"
California,6,2021,July,7,"36,411"
California,6,2021,August,8,"38,282"
California,6,2021,September,9,"37,372"
California,6,2021,October,10,"36,891"
California,6,2021,November,11,"34,213"
California,6,2021,December,12,
Connecticut,9,2021,January,1,"2,517"
Connecticut,9,2021,February,2,"2,637"
Connecticut,9,2021,March,3,"3,108"
Connecticut,9,2021,April,4,"3,090"
Connecticut,9,2021,May,5,"3,166"
Connecticut,9,2021,June,6,"3,217"
Connecticut,9,2021,July,7,"3,307"
Connecticut,9,2021,August,8,"3,422"
Connecticut,9,2021,September,9,"3,372"
Connecticut,9,2021,October,10,"3,121"
Connecticut,9,2021,November,11,"2,928"
Connecticut,9,2021,December,12,
Florida,12,2021,January,1,"16,548"
Florida,12,2021,February,2,"16,122"
Florida,12,2021,March,3,"17,249"
Florida,12,2021,April,4,"16,755"
Florida,12,2021,May,5,"16,933"
Florida,12,2021,June,6,"17,513"
Florida,12,2021,July,7,"18,517"
Florida,12,2021,August,8,"19,610"
Florida,12,2021,September,9,"20,040"
Florida,12,2021,October,10,"19,533"
Florida,12,2021,November,11,"18,436"
Florida,12,2021,December,12,"19,197"
Hawaii,15,2021,January,1,"1,206"
Hawaii,15,2021,February,2,"1,117"
Hawaii,15,2021,March,3,"1,415"
Hawaii,15,2021,April,4,"1,270"
Hawaii,15,2021,May,5,"1,286"
Hawaii,15,2021,June,6,"1,266"
Hawaii,15,2021,July,7,"1,349"
Hawaii,15,2021,August,8,"1,413"
Hawaii,15,2021,September,9,"1,385"
Hawaii,15,2021,October,10,"1,325"
Hawaii,15,2021,November,11,"1,225"
Hawaii,15,2021,December,12,822
Ohio ,39,2021,January,1,"9,874"
Ohio ,39,2021,February,2,"9,728"
Ohio ,39,2021,March,3,"10,813"
Ohio ,39,2021,April,4,"10,475"
Ohio ,39,2021,May,5,"10,838"
Ohio ,39,2021,June,6,"11,238"
Ohio ,39,2021,July,7,"11,660"
Ohio ,39,2021,August,8,"11,498"
Ohio ,39,2021,September,9,"11,421"
Ohio ,39,2021,October,10,"10,958"
Ohio ,39,2021,November,11,"10,302"
Ohio ,39,2021,December,12,"10,200"
Oregon,41,2021,January,1,"3,099"
Oregon,41,2021,February,2,"2,868"
Oregon,41,2021,March,3,"3,411"
Oregon,41,2021,April,4,"3,357"
Oregon,41,2021,May,5,"3,523"
Oregon,41,2021,June,6,"3,546"
Oregon,41,2021,July,7,"3,678"
Oregon,41,2021,August,8,"3,667"
Oregon,41,2021,September,9,"3,426"
Oregon,41,2021,October,10,
Oregon,41,2021,November,11,
Oregon,41,2021,December,12,
